20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_07.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_08.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_09.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_10.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_11.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_12.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_13.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_14.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_15.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_16.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_16_20201004200054.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_17.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_18.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_19.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_20.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_21.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_22.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_23.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_24.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_25.raw
87820.0,44341.0,20309.0,101262.0,67820.0,95411.0,96764.0,128102.0,112572.0,127734.0,70521.0,27287.0,29075.0,35245.0,149239.0,150889.0,138597.0,69273.0,103283.0,194.0
79184.0,78057.0,70706.0,46227.0,68545.0,95401.0,93958.0,62057.0,92831.0,35286.0,70531.0,55428.0,122480.0,76176.0,6491.0,108477.0,139126.0,97290.0,51161.0,61249.0
80238.0,41850.0,70756.0,39621.0,72646.0,95343.0,93968.0,64045.0,95786.0,35157.0,71097.0,79076.0,122255.0,125395.0,6462.0,109668.0,145399.0,98272.0,55179.0,69793.0
80310.0,70732.0,70776.0,45873.0,73345.0,95278.0,94024.0,62404.0,96209.0,35038.0,76552.0,79106.0,122549.0,125345.0,6457.0,109658.0,145389.0,98187.0,52710.0,69783.0
80616.0,78201.0,70895.0,45921.0,72655.0,95258.0,94060.0,63311.0,92487.0,82798.0,41221.0,79165.0,122273.0,125325.0,6416.0,109638.0,145379.0,97659.0,51241.0,69764.0
80748.0,73427.0,70875.0,39563.0,73326.0,95160.0,94070.0,63214.0,92841.0,34842.0,41211.0,79175.0,122197.0,125295.0,6376.0,109618.0,145329.0,96971.0,55300.0,69734.0
78331.0,70682.0,70905.0,45931.0,72704.0,95430.0,94100.0,62227.0,96191.0,35306.0,41201.0,79194.0,122490.0,125285.0,54495.0,108400.0,145349.0,97156.0,55200.0,69724.0
80758.0,77785.0,70806.0,46409.0,67199.0,95248.0,93908.0,62027.0,92695.0,35137.0,41181.0,79204.0,122462.0,125275.0,6356.0,109549.0,138587.0,96942.0,51181.0,69714.0
78321.0,41721.0,70697.0,46344.0,72636.0,95391.0,94130.0,62414.0,95766.0,35075.0,41084.0,79214.0,122393.0,125189.0,6336.0,109539.0,139106.0,98725.0,52730.0,69691.0
78223.0,41603.0,70477.0,45990.0,72783.0,95499.0,94140.0,61948.0,95756.0,34832.0,41054.0,79224.0,122028.0,125149.0,6316.0,108419.0,145302.0,97250.0,52069.0,69681.0
78193.0,78067.0,70677.0,46040.0,68515.0,95806.0,94378.0,61938.0,92900.0,35246.0,41044.0,79254.0,122283.0,125111.0,6269.0,109529.0,145292.0,98814.0,55190.0,69661.0
80835.0,74386.0,70547.0,46334.0,67209.0,95628.0,94210.0,61928.0,95737.0,34890.0,41014.0,79274.0,122177.0,125091.0,6249.0,109499.0,145359.0,97787.0,51251.0,118127.0
78183.0,77848.0,70527.0,46265.0,68495.0,95638.0,94512.0,62424.0,95698.0,35197.0,40995.0,79294.0,122413.0,125061.0,54525.0,110352.0,144679.0,98217.0,51171.0,69622.0
80228.0,77947.0,70507.0,46098.0,67305.0,95648.0,94190.0,62067.0,95688.0,34807.0,40986.0,79304.0,122038.0,125021.0,6219.0,109469.0,145409.0,97806.0,53361.0,69572.0
80913.0,77560.0,70497.0,39435.0,68475.0,95708.0,94200.0,62103.0,92909.0,34939.0,40947.0,79314.0,122137.0,125011.0,6159.0,109459.0,145419.0,96753.0,52739.0,69542.0
78047.0,77530.0,70915.0,46137.0,68415.0,95758.0,94388.0,62113.0,95825.0,34787.0,40918.0,79334.0,122303.0,125435.0,6139.0,109425.0,145661.0,96812.0,52759.0,69532.0
78007.0,77968.0,70467.0,46324.0,72773.0,95816.0,94260.0,62168.0,96102.0,35236.0,40872.0,79363.0,122157.0,125455.0,6119.0,109405.0,144598.0,98775.0,54773.0,69483.0
80933.0,77387.0,70457.0,46147.0,68555.0,95843.0,94288.0,63223.0,95922.0,34900.0,40852.0,79371.0,122313.0,125474.0,6069.0,109395.0,145651.0,97748.0,54823.0,69803.0
77987.0,72820.0,70418.0,46314.0,72596.0,95951.0,94308.0,62394.0,92527.0,34929.0,40822.0,79391.0,122167.0,125484.0,6059.0,109337.0,138432.0,96900.0,51356.0,69832.0
80983.0,73437.0,70408.0,39505.0,68408.0,95981.0,94406.0,62121.0,92547.0,30565.0,40763.0,79437.0,122323.0,125534.0,6040.0,109327.0,145612.0,96932.0,54832.0,69851.0
80993.0,77808.0,70398.0,39445.0,73434.0,95140.0,94328.0,62364.0,96278.0,35226.0,40743.0,79477.0,122443.0,125554.0,6501.0,109716.0,145574.0,97166.0,54892.0,69881.0
81080.0,73310.0,70388.0,46187.0,68892.0,95991.0,93898.0,62434.0,92743.0,34920.0,40733.0,79497.0,122187.0,125574.0,5993.0,109297.0,145546.0,98254.0,54972.0,70259.0
81150.0,70702.0,70687.0,39465.0,68772.0,95529.0,94348.0,62354.0,96082.0,35207.0,40713.0,79527.0,119948.0,125633.0,6511.0,109776.0,138462.0,97836.0,52019.0,70250.0
81180.0,73260.0,70965.0,46197.0,72527.0,95101.0,94368.0,62337.0,96132.0,34949.0,40703.0,79567.0,122599.0,125653.0,6569.0,109835.0,139205.0,97020.0,51338.0,70239.0
29655.0,72870.0,71162.0,46107.0,68733.0,94549.0,94150.0,62317.0,92537.0,34822.0,40694.0,79585.0,123490.0,125663.0,7229.0,110335.0,145516.0,96961.0,55129.0,70229.0
77977.0,72890.0,71042.0,41457.0,73424.0,95022.0,93888.0,64150.0,96052.0,36034.0,40675.0,79614.0,123509.0,125683.0,7209.0,110272.0,144609.0,98755.0,51318.0,118097.0
78140.0,73012.0,71879.0,45677.0,73365.0,96030.0,93411.0,62277.0,92636.0,30558.0,41271.0,79634.0,123588.0,125717.0,7170.0,110218.0,138492.0,97738.0,55022.0,70192.0
79144.0,77648.0,71869.0,39631.0,72606.0,94355.0,93828.0,62158.0,96022.0,36134.0,41290.0,79008.0,123598.0,125727.0,7076.0,110209.0,144619.0,98264.0,52749.0,70182.0
80188.0,74292.0,5908.0,45059.0,68703.0,94384.0,93005.0,62267.0,96012.0,36173.0,41300.0,79644.0,123608.0,125754.0,7046.0,110199.0,139146.0,97669.0,51280.0,69453.0
78380.0,73032.0,71816.0,45069.0,67144.0,94394.0,92985.0,62257.0,92735.0,36203.0,41310.0,78988.0,119126.0,125775.0,7043.0,110189.0,138569.0,97118.0,55049.0,70154.0
79248.0,41711.0,71806.0,45127.0,67173.0,94481.0,92975.0,64115.0,96142.0,45952.0,41972.0,78908.0,123618.0,125785.0,6984.0,110149.0,145497.0,97856.0,55079.0,70069.0
79134.0,74272.0,71796.0,45136.0,68615.0,94491.0,93063.0,63697.0,92656.0,36213.0,41962.0,78114.0,123637.0,125794.0,6964.0,110139.0,145449.0,98336.0,55370.0,69999.0
79371.0,74262.0,71778.0,45146.0,67193.0,94501.0,92965.0,62561.0,95982.0,30364.0,76765.0,78124.0,123412.0,125001.0,54485.0,110096.0,138577.0,97559.0,51261.0,69979.0
79411.0,77775.0,71753.0,45304.0,68585.0,94539.0,94532.0,64035.0,96305.0,36223.0,41863.0,78164.0,123667.0,124991.0,6894.0,110026.0,138635.0,98539.0,55089.0,69969.0
79431.0,74349.0,71713.0,45322.0,72547.0,94579.0,93132.0,62918.0,92753.0,36233.0,41814.0,78170.0,123724.0,124814.0,6821.0,110016.0,145282.0,98227.0,55109.0,69959.0
79114.0,77743.0,71703.0,45362.0,68575.0,94618.0,93142.0,62928.0,95972.0,36243.0,76708.0,78180.0,123734.0,124755.0,6811.0,110006.0,139076.0,98433.0,51299.0,69910.0
79451.0,77753.0,71634.0,45412.0,68683.0,94628.0,93161.0,63905.0,96315.0,36263.0,41804.0,78190.0,123802.0,124333.0,6761.0,109996.0,138782.0,98529.0,51151.0,69891.0
81237.0,77598.0,71614.0,45460.0,68359.0,94668.0,93181.0,63037.0,96229.0,36303.0,41784.0,78200.0,123812.0,124293.0,6733.0,109950.0,138967.0,97549.0,52650.0,70109.0
78976.0,73152.0,71604.0,39759.0,67424.0,94678.0,93191.0,63895.0,95952.0,36338.0,41754.0,78210.0,123822.0,124286.0,6698.0,109940.0,144847.0,97964.0,51122.0,70269.0
79530.0,70722.0,71584.0,45558.0,68329.0,94696.0,93231.0,61918.0,92821.0,36348.0,41744.0,78250.0,123882.0,124266.0,6658.0,109910.0,144827.0,98385.0,52416.0,69433.0
78781.0,72840.0,71564.0,45578.0,72918.0,94726.0,93878.0,62908.0,95942.0,36358.0,76699.0,78260.0,123892.0,124226.0,6628.0,109901.0,138958.0,98502.0,52145.0,69324.0
